Postcode	age18_24	age25_34	age35_54	age_55	genderMale	employed	selfEmployed	student	eduLower	eduMid	eduUni	license	commuteBike	commutePT	commuteNS	distWork	usedUber	hhSize	hhChild	nbrCarHH	incLevel_30k	incLevel30_60k	incLevel60k	csMember	choice
2544	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	5	0	4	2	2	0	1	0	1	4
1053	0	0	1	0	0	1	0	0	0	0	1	1	1	1	0	4	0	2	0	3	0	0	1	0	3
1068	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	7	1	3	1	2	0	1	0	0	0
2581	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	7	0	4	2	2	0	0	1	0	4
2545	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	5	0	4	2	2	0	0	1	0	0
3526	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	6	0	3	1	2	0	1	0	0	0
1068	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	3	0	1	0	1	1	0	0	0	3
3034	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	4	0	4	2	2	1	0	0	0	1
2555	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	6	0	2	0	2	0	0	0	0	0
1056	0	0	1	0	1	1	0	0	0	0	1	1	1	0	1	5	0	3	1	2	0	0	1	0	2
3011	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	2	1	3	0	1	1	0	0	0	1
3032	0	0	1	0	1	1	0	0	1	0	0	1	0	1	0	6	0	3	1	2	0	1	0	0	1
3526	0	0	1	0	1	1	0	0	0	0	1	1	1	0	0	2	0	2	0	2	0	1	0	0	3
1012	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	4	0	4	2	3	0	0	1	0	1
1018	0	0	1	0	1	1	0	0	0	0	1	1	1	1	1	5	0	1	0	2	0	1	0	1	0
1072	0	0	1	0	1	1	0	0	0	0	1	1	1	0	0	2	0	1	0	1	0	0	1	0	1
3525	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	7	0	2	0	2	0	1	0	0	0
3564	0	0	1	0	1	1	0	0	1	0	0	1	1	1	0	2	1	2	1	2	0	1	0	0	0
3069	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	4	0	2	0	2	0	0	1	0	0
3515	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	3	1	2	0	1	0	0	0	0	1
2565	0	1	0	0	0	1	0	0	0	0	1	1	1	1	0	4	1	4	2	2	0	0	0	0	2
2907	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	2	0	2	0	4	0	1	0	0	0
1091	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	4	1	2	0	3	0	1	0	0	0
3021	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	2	0	2	0	2	0	0	0	0	1
3582	0	1	0	0	0	1	0	0	0	0	1	1	1	1	0	5	0	1	0	2	1	0	0	0	2
3076	0	0	0	1	0	1	0	0	0	1	0	1	1	1	0	5	0	6	3	2	0	0	0	0	4
3012	0	1	0	0	0	1	0	0	0	0	1	1	1	1	0	4	0	1	0	2	0	1	0	0	2
2555	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	6	1	2	0	4	0	0	1	0	0
2573	0	1	0	0	0	1	0	0	0	1	0	1	0	1	0	3	0	1	0	1	1	0	0	0	1
2525	1	0	0	0	1	1	0	0	1	0	0	1	1	1	1	2	0	4	2	2	1	0	0	0	0
3062	1	0	0	0	0	0	0	1	0	1	0	1	1	1	0	2	1	4	0	3	1	0	0	0	4
2565	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	2	0	4	2	2	0	0	1	0	0
3553	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	5	1	3	1	2	0	1	0	0	2
3068	0	0	1	0	1	1	0	0	0	1	0	1	0	1	0	5	0	2	0	2	0	1	0	0	0
3554	1	0	0	0	0	1	0	0	0	1	0	1	1	0	0	2	0	3	0	2	0	0	0	0	3
2573	1	0	0	0	1	1	0	0	0	0	1	1	1	1	0	3	0	4	0	2	1	0	0	0	0
1073	0	0	1	0	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	0	0	1	2
